name,address,phone,city,postcode
The Golden Dragon,123 High Street,020 1234 5678,London,SW1A 1AA
Mario's Pizza,45 Queen Street,020 2345 6789,London,EC1A 4HD
Cafe Central,78 King's Road,020 3456 7890,London,SW3 4RD
The Corner Bakery,12 Market Square,020 4567 8901,London,SE1 9RT
Tony's Fish & Chips,56 Church Lane,020 5678 9012,London,NW1 6XE
The Red Lion,89 High Road,020 6789 0123,London,E1 6AN
Bella's Restaurant,34 Park Avenue,020 7890 1234,London,W1K 3QR
The Coffee House,67 Station Road,020 8901 2345,London,SW1P 3EU
Pete's Pizzeria,23 Green Street,020 9012 3456,London,N1 7AA
The Garden Cafe,45 Mill Lane,020 0123 4567,London,SE5 8RT
